,,,,camas_habilitadas,camas_habilitadas,camas_habilitadas,ingresos_nuevos,ingresos_nuevos,ingresos_nuevos,ingresos_nuevos,hospitalizados,hospitalizados,hospitalizados,egresos_vivos,egresos_vivos,egresos_vivos,defunciones,defunciones,defunciones,defunciones
,,,,internacion,uti,uci,emergencias,internacion,uti,uci,internacion,uti,uci,internacion,uti,uci,emergencias,internacion,uti,uci
departamento,cod_establ,fecha,reporte_diario,,,,,,,,,,,,,,,,,
beni,700866.0,2022-04-17,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-18,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-19,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-21,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-22,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-23,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-24,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-26,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-27,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-28,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-04-29,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-02,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-03,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-05,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-06,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-07,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-08,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-09,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-10,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-11,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-12,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-13,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-16,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-17,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-18,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-19,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-20,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-25,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-26,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-27,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-28,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-05-30,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-02,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-03,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-05,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-06,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-07,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-08,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-09,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-10,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-11,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-12,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-13,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-14,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-15,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-16,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-17,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-19,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-20,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beni,700866.0,2022-06-21,True,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
